Date,RTGS_Vol,RTGS_Val,NEFT_Vol,NEFT_Val,AePS_Vol,AePS_Val,UPI_Vol,UPI_Val,IMPS_Vol,IMPS_Val
01/06/2020,4.85,436996.69,172.11,104275.13,0.43618,7.6822045,476.9671,10413.10897,76.80648,9072.554678
02/06/2020,4.5434,361878.8715,100.06772,65259.01611,0.44138,7.6655157,476.78182,9951.298586,72.24891,8215.412747
03/06/2020,4.30157,330632.8923,100.36426,62985.75019,0.43952,7.4760377,456.2593,9622.375213,68.14805,7653.707593
04/06/2020,4.35152,329072.4474,94.65655,63148.28862,0.44828,7.3238377,463.04959,9639.502869,70.68543,7705.893342
05/06/2020,4.56267,365468.952,111.26259,68932.7186,0.47535,7.3247942,464.79398,9539.524729,72.99507,7705.245526
06/06/2020,3.78611,111618.2159,77.05,60118.05843,0.53671,7.7088397,458.64927,9119.199542,70.34825,7076.034987
07/06/2020,h,h,8.35691,2651.29317,0.43795,5.5799212,427.25912,6874.9973,54.24646,4350.245887
08/06/2020,5.32742,343217.5274,121.32275,68564.97478,0.61689,8.2091203,469.99287,10062.17049,71.29805,8143.193534
09/06/2020,4.94615,295808.2369,95.19347,68888.07719,0.63,8.43,466.98338,9786.857657,69.54556,7725.253023
10/06/2020,4.78815,332717.289,87.89294,63676.18544,0.69205,9.1144115,461.58058,9839.410284,69.47982,7650.198805
11/06/2020,4.6815,325252.8441,79.90802,69624.46127,0.63,8.4,449.65,9499.97,68.71,7424.38
12/06/2020,5.23362,431435.8149,78.75303,72097.77863,0.63961,8.9763331,453.42912,9288.433726,68.23533,7365.121365
13/06/2020,h,h,16.07575,5053.557916,0.58489,8.2390929,289.00253,4333.739249,47.24816,4517.003189
14/06/2020,h,h,10.82748,2674.318711,0.39485,5.5253345,435.87,7238.232876,57.40624,4388.975789
15/06/2020,6.73663,489520.1202,95.28147,88318.82399,0.53362,8.036984668,463.91469,9725.940724,72.58162,8165.451246
16/06/2020,5.31426,329380.8933,82.53249,88072.57148,0.54833,8.1890834,469.24346,9361.87362,67.36546,7244.153282
17/06/2020,4.96661,321418.9069,72.76998,64135.4917,0.53836,8.035623949,446.58304,9087.238502,68.21495,7098.010307
18/06/2020,4.78605,335846.1595,70.91951,76040.08425,0.58279,8.4118687,433.31743,8793.323442,66.09145,6929.780254
19/06/2020,4.71551,336777.891,65.82844,64031.90071,0.56548,8.3368294,440.29209,8512.468179,65.63303,6593.330339
20/06/2020,3.87281,82992.86207,53.97209,43978.10317,0.48062,7.3706277,437.74652,8280.129006,64.78842,6129.247386
21/06/2020,h,h,6.0616,2093.334083,0.3333,4.89552405,356.52732,4938.442783,45.952,3314.191724
22/06/2020,5.13852,392434.0422,95.50014,73128.6048,0.50671,7.9827402,459.5468,9375.196451,68.48067,7111.423727
23/06/2020,4.79047,330592.0529,94.77534,95774.00597,0.5705,8.7682392,452.99435,8650.023156,66.61695,6780.849733
24/06/2020,4.80322,326049.651,71.5239,68814.85183,0.57,8.68,477.54,8942.45,65.81,6840.45
25/06/2020,4.73562,331568.4744,66.47256,86276.4916,0.56213,8.7054141,456.49271,8531.51824,66.15843,6927.48
26/06/2020,5.29307,425126.2236,71.37461,89606.8474,0.58,8.95,455.45,8660.95,66.32,6910.38
27/06/2020,h,h,13.77369,6805.169381,0.52,8.33,436.26,7586.08,62.86,5836.21
28/06/2020,h,h,6.57923,2336.184594,0.3,4.52,397.91,5544.8,49.17,3612.89
29/06/2020,7.00889,584660.8299,109.64273,129714.5443,0.52,8.56,430.17,8825.17,72.11,8319.76
30/06/2020,6.14231,701509.8354,143.16587,149509.5053,0.43,7.46,505.09,11811.09,83.56,10144
01/07/2020,4.90762,417735.9477,173.00165,96466.52145,0.57,9.49,515.18,11611.71,90.45,10474.88
02/07/2020,4.68519,320662.5505,100.44184,74699.4531,0.61,9.9,481.96,10494.44,83.03,9342.1
03/07/2020,4.69096,298605.3466,108.02575,71947.53989,0.59,9.74,507.41,10735.45,76.91,8293.17
04/07/2020,3.80446,95452.81051,70.05782,48814.6806,0.56,9.06,498.77,10114.58,76.41,7785.95
05/07/2020,h,h,9.73955,2897.45462,0.3,4.48,432.52,7115.05,55.19,4615.17
06/07/2020,5.22569,393151.5408,109.29326,97039.57667,0.6,9.55,503.34,10863,82.24,8622.13
07/07/2020,4.94152,347459.2663,117.56608,75837.3425,0.52,8.41,496.02,10438.01,79.28,8374.16
08/07/2020,4.74639,314249.0151,111.46972,73250.38665,0.61,9.26,509.11,10642.44,77.06,8091.53
09/07/2020,4.74413,343721.645,100.01119,72248.88673,0.53,8.35,485.14,10059.96,74.58,7859.37
10/07/2020,5.20218,389681.8291,102.36282,86573.93744,0.57,8.91,451.5,9324.23,74.82,8028.18
11/07/2020,h,h,14.27293,6074.971941,0.5,7.67,500.95,9024.34,68.01,6185.32
12/07/2020,h,h,7.29335,2357.106414,0.31,4.63,434.05,6282.22,49.4,3658.08
13/07/2020,6.44814,449931.9285,113.43608,88295.77311,0.48,7.89,518.52,10469.79,77.46,8056.36
14/07/2020,5.20935,331781.7014,85.13832,68689.00854,0.65,9.94,519.6,10312.04,74.8,7839.39
15/07/2020,4.96783,332465.9695,86.07893,80746.79719,0.66,9.83,499.18,10118.86,72.43,7711.74
16/07/2020,4.67086,326097.8165,84.25585,69716.47349,0.65,9.92,479.81,9451.87,69.47,7083.76
17/07/2020,4.57588,304494.6471,76.65922,74411.4031,0.61,9.24,472.6,9034.77,68.6,7062.31
18/07/2020,3.36767,80898.97757,59.84917,40256.3227,0.51,7.75,462.3,8380.13,62.86,5988.41
19/07/2020,h,h,6.08129,2343.157193,0.35,5.04,410.87,5766.61,47.37,3415.28
20/07/2020,5.20914,345326.9228,74.31706,70357.75974,0.6,9.04,461.25,8829,72.5,7248.83
21/07/2020,4.80039,300956.3102,66.35638,59734.08596,0.58,8.92,437.49,8301.25,70.65,7070.64
22/07/2020,4.68802,307147.7808,68.64978,62003.00857,0.54,8.73,496.81,9735.93,71.29,7124.26
23/07/2020,4.46214,310965.1118,63.86625,67317.40326,0.52,7.97,470.34,8878.82,69.01,6874.02
24/07/2020,5.27373,319243.6681,78.15744,79211.51698,0.58,8.66,483.32,9348.16,71.25,7238.9
25/07/2020,h,h,13.6464,6554.56899,0.41,6.51,466.6,7787.59,64.02,5730.15
26/07/2020,h,h,7.73715,2268.573215,0.29,4.31,414.17,5659.17,47.71,3467.98
27/07/2020,6.56634,360578.0876,88.84762,102496.0253,0.52,8.41,501.87,9884.21,75.23,7929.13
